DATE,STAR,LIKE,REVIEW
2020년 4월 10일,별표 5개 만점에 1개를 받았습니다.,2,리뷰는 스마트폰 쓰면서 처음 남겨봅니다. 10만원 충전해 놓고 사용하려고 보니 네트워크 연결이 안됩니다? 이따구로 뜨면서 꺼지고....리뷰 확인해보니 와이파이에서는 된다고 해서 와이파이 접속후 해도 똑같은 증상 이네요.. 장난하는것도 아니고 빠른시일내에 환불해 주세요 못씁니다. 내 돈쓰면서 스트레스 받는경우는 뭔 경우인가 모르겠네요...
2020년 2월 28일,별표 5개 만점에 1개를 받았습니다.,1,"충전금액 환불이 자유로울거라 생각하고 카드발급, 어플설치를 하고 충전을 했었는데 급히 보낼 곳이 있어서 환불을 했어야 됬기에 환불 버튼을 눌렀는데 아무것도 못하더라구요. 그래서 밑에 쓰인 글을 읽어보니까 전액 환불은 충전후 7일 이내로 문의하여야 되고 조금이라도 사용한 경우에는 충전금액의 60퍼센트를 사용하여야 남은 금액을 수수료 없이 환불이 가능하다고 쓰여있더라구요..그래서 급한 마음에 고객센터에 30분을 붙잡고 전화를 한 끝에 겨우 통화가 연결되서 환불을 받았습니다. 환불은 당일이 아닌 다음날 오전에 환불이 된다고 하셨구 오전에...
전체 리뷰"
2020년 3월 4일,별표 5개 만점에 1개를 받았습니다.,1,서비스 종료인데 구 어플 안내리냐?? 새 업체 어플인줄알고 또깔앗자나 이것들 정신못차리네 아주
2021년 4월 5일,별표 5개 만점에 3개를 받았습니다.,6,"껐다가 켜면 다시 처음부터 인증해야 하는 치명적인 버그가 존재합니다. 충전 하자마자 껐다가 다시 켰더니 또 문자인증 다시 하고 비밀번호 새로 설정해야 합니다. 벌써 10번째입니다. 들어갈때마다 '인증된 폰번호와 현재 폰번호가 일치하지 않습니다. 번호 변경시, '초기화하기' 메뉴 선택후 재인증하셔서 사용해주세요 [종료] [초기화하기]'라는 창이 뜨면서 다시 처음부터 인증해야 들어가지고, 다시 인증받고 계좌 연결해서 돈 충전후 껐다가 다시 켜면 또 저 창이 뜨면서 또 처음부터 인증을 해야 합니다. 아니면 차라리 하나은행 체크카드를 주세...
전체 리뷰"
2020년 2월 3일,별표 5개 만점에 1개를 받았습니다.,8,앱 업로드이후 자꾸 재시작해야 하는 버그가 계속발생 합니다. 업로드전에는 전혀 문제 없었으나 업로드이후 한번에 연결이 되지 않고 여러번 해야 겨우 연결됩니다. 앱 실행하면 첫번째 화면나오다 꺼지는 현상이며 네트웍 연결이 안되었다고 하기도 하고 여러번 실행해야 겨우 겨우 됩니다. 와이파이나 네트웍장비 바로 앞 및 LG 통신장비 바로 앞에서도 겨우 겨우 연결됩니다. 다른 인터넷이나 연결속도 측정해도 전혀 문제 없습니다 핸드폰 기종은 V30(LG) 모델입니다. 리뷰에 보면 여러사람들이 문제제기를 합니다. 빠른조치 부탁해요!
2020년 2월 7일,별표 5개 만점에 1개를 받았습니다.,,"별 한 개도 아깝다. 평점 조작했나. 뭔 4.5야, 캐시백만 아니면 거들떠도 안본다. 충전하려고 해도 앱이 열려야지. 네트워크 접속이 안된다고 하고 정상적 os가 아니라고 하고 지웠다깔았다. 수번에 수백번 접속 실패. 쓰기 불편해서 나이 많은 사람들은 안씀."
2020년 2월 6일,별표 5개 만점에 5개를 받았습니다.,21,"동백전 정말 좋아요. 어디다가 리뷰를 써야될지 몰라서 여기 씁니다. 우선 적립이 바로 이루어지는점이 좋고, 원하는만큼 충전할 수 있어서 좋아요. 가맹점 찾기 기능도 매우 유용합니다. 또한 적립금을 사용하는거도 모드 on 만 해놓으면 되어서 너무 간단해요 ! (포인트로 사용할때 조금 미안하거나 민망할때 있는데, 동백전은 그럴일 전혀 없음 !) 이거 사용 후에 동백전 사용 가능한 곳에 많이 방문하게 되는거같아요. 지역화폐 취지에 딱 맞게 잘 사용하고 있습니다 ㅎㅎ 앞으로도 적극 사용하고 주변에도 추천할게요. 감사합니다 :))"
2020년 2월 7일,별표 5개 만점에 4개를 받았습니다.,2,동백전 잘 쓰고 있습니다. 쓰면서 추가했으면 하는 기능이 있어서 건의사항 드립니다. 돈 관리를 위해서 한달간 동백전 카드를 통해 쓴 지출 내역의 총합을 보여주는 기능이 있었으면 합니다. 동백전 통장을 따로 개설한 사례라면 제테크 앱에 따로 등록해서 돈 지출현황을 살펴볼 수 있겠지만 저와 같이 기존 쓰던 체크카드에 연결한 카드라면 동백전 카드를 따로 등록이 안됩니다. 그래서 동백전 지출 총합을 보고자 하면 일일히 계산해야 하는 상황입니다. 그래서 이렇게 부탁드립니다!🙏🏻
2020년 4월 14일,별표 5개 만점에 1개를 받았습니다.,1,"동백전이 어플없이 사용가능하다면 모르겠지만, 필수적으로 어플이 필요한 서비스인데 이 정도로 불안정하면.. 이건 매우 큰 문제인것 같습니다.. 안정화좀 해주세요.. 와이파이 LTE 5G 어디서도 안정적으로 작동하지 않습니다.. 정상작동 하는 경우보다 어플실행시 메인화면만 나온 상태로 멈추는 경우가 더 많습니다"
2020년 1월 30일,별표 5개 만점에 4개를 받았습니다.,34,"어플이 와이파이! 연결될때만! 실행 됩니다 데이터를 켜면 "" 네트워크 상태가 원활하지 않습니다. 연결상태를 확인후 다시 시도해주세요""라고 뜨는데 고객센터는 연결이 잘 안되서요. 어플설정을 들여다봐도 안될 이유를 못찾겠어요. 그것빼고는 다른 건 정말 좋아요 캐시백도 바로바로 되고 캐시백 %도 크고 대만족입니다."
2020년 2월 7일,별표 5개 만점에 1개를 받았습니다.,6,왜 평점이 4.3인가요. 별 하나도 아깝습니다. 네트워크 오류로 접속이 일주일 넘게 안됩니다. 고객센터는 매일 통화중으로 연결도 힘들군요. 앱이 실행되야 충전을 하든지 사용내역을 확인하든지 하죠. 일주일 넘게 제 핸드폰에 문제 있어서 그런가 하고 앱 지우고 설치를 몇번이나 반복 했는지 모르겠습니다.
2020년 7월 23일,별표 5개 만점에 2개를 받았습니다.,23,폰마다 차이가있는지 제폰에서는 와이파이 아니면 앱에 접속이 거의 안됩니다(A5). 길거리에서 갑자기 충전해야할때 또는 가맹점확인해야할때 LTE면 네트워크 상태가 원활하지 않다며 바로 꺼집니다. 확인이 불가능해요. 길 한복판에서 와이파이 잡는게 쉬운것도 아닌데ㅜ 너무너무너무 불편하고 급할때는 정말 욕나와요ㅠㅠㅠ 어제도 앱 50번 출구컷 당하고 물건 못사고 나왔습니다. 개선 안됩니까
2020년 3월 30일,별표 5개 만점에 1개를 받았습니다.,3,"지난 토요일부터 네트워크오류라고 로그인자체가 안됨. 충전.잔액확인안되고,혹시 이런상황일때 은행에서 충전업무가능한지 물어보니 어플에서만 가능하다고함.고객센터는 통화연결이 안됨. 이정도면 쓰라고만들어놓은건지 의심스러움"
2020년 3월 9일,별표 5개 만점에 5개를 받았습니다.,6,"대형마트와백화점등대형업체만빼면 대부분사용되네요 가맹점찾기어렵다는분이해가안되는데 동네병원도되고 약국도되고 슈퍼,빵집,음식점,주유소...안되는곳찾기가더힘듦 도대체어디사시는분인지궁금하네요 캐시백도결재와동시에딱들어오고 첨엔되나안되나가맹점찾기도해봤는데 이젠필요없어요 신용카드쓸데가없어지고있어서그게문제 쓰는재미가쏠쏠합니다~"
2020년 3월 18일,별표 5개 만점에 3개를 받았습니다.,208,"캐시백 많이 되고 취지 및 실사용에 대해서는 아주 만족하고 있습니다. 다만, 앱의 기능이 너무 허접합니다. 월간 총 사용금액을 집계하는 것도 없고요. 한달에 100만원 한도인데 이 달에 얼마큼 썼는지 일일이 계산을 따로 해야 하네요. 업그레이드 부탁 드립니다. 그리고 한달전에 남긴 1대1문의에 대한 답변은 깜깜 무소식이네요. 아마 이 글도 확인 안될듯???"
2020년 4월 14일,별표 5개 만점에 2개를 받았습니다.,43,"동백전 사용하기 좋아요! 그렇지만, 안드로이드 버전이 낮아 동백전 어플 자체가 아예 설치 안되는 경우가 있어요. 부산지역화폐이고 어플을 통해서만 가입이 가능한 부분을 감안한다면, 버전이 낮은 폰의 경우에도 동백전 어플을 설치할 수 있게 조정해주시면 더 좋을 것 같아요!"
2020년 5월 8일,별표 5개 만점에 5개를 받았습니다.,100,"앱으로 카드 신청할 땐 와이파이 안되서 데이터로 신청했고요. 카드 받고 나선 데이터로도 앱이 열리지 않아서 충전을 못하고 있어서 사용을 못하고 있습니다. 신청하면서 하나카드 광고수신 부동의 했는데 다음날 동의 했다고 문자 오질 않나, 이거 뭐 개인정보만 털리고 카드 사용은 전혀 못하고 있네요. 추가: 지금시각 4월16일 04:20 동백전 앱이 열리네요. 앱 설명에 따르면, 안드로이드6.0마시멜로우에 맞춰져있다고 해서 그동안 제 폰 안드5.0롤리팝에서 안열린 모양인데, 지금 새벽에 열려서 일단 급하게 충전했어요. 카드 사용 후 다시 ...
전체 리뷰"
2020년 3월 11일,별표 5개 만점에 3개를 받았습니다.,5,"가입은 수월히 카드신청시 은행계좌 연결하여 다시 키려면 다시 처음부터, 충전계좌 연결해보려 입금명을 보려 모바일뱅킹 열어보고 다시 넘어오면, 또 꺼집니다. 어떻해야하죠? 결론 : 가입+ 카드신청까지는 했으나, 충전계좌연결은 못하여 포기한 상태 (계좌앱을 열고 다시 넘어오면, 다시 동백전 처음 상태로 돌아옴) 해결방법을 알려주세요."
2020년 3월 18일,별표 5개 만점에 4개를 받았습니다.,10,어플도 보기 편하고 실시간 캐쉬백 확인되니 너무 잘 쓰고있어요.. (가맹점 찾기 힘들다는 분들. 그냥 가셔서 동백전 내세요. 그럼 되는가능한 곳은 해주시고 안되는곳은 안된다 하십니다) 그런데 충전금액보다 더 큰 금액을 결제하면 차액만 통장에서 출금되는게 아니라 온전히 통장에서만 출금이 되던데.. 이부분은 개선이 안되나요? 두달째 잔액이 조금씩 남게되니 싫어요..
2020년 4월 13일,별표 5개 만점에 4개를 받았습니다.,2,"잘쓰고 있었는데, 최근에 번호이동을 한 뒤로(알뜰폰~알뜰폰) 계속 초기화하라고 하고, 초기화메뉴 눌러도 안넘어가고... 인증을 여러번해도 들어갈때 그뿐, 다시 앱을 껏다켜면 문제가 반복되네요..해결해주세요"
2020년 4월 13일,별표 5개 만점에 1개를 받았습니다.,3,좀 어플좀 들어가봅시다. 뭐좀 할라하믄 네트워크 상태가 안좋다하고. 충전도 못하고 사용도 못하고. 콜센터도 연결안되고. 캐시백 주기 싫어서 어플 안열립니까. 이따구로 관리할거면 애시당초 만들지를 만들가. 한시간째 안들어가지는데 도대체 관리자는 불금이라 놀러갔습니까?
2020년 4월 21일,별표 5개 만점에 1개를 받았습니다.,11,와 앱 실행 너무 안되요 너무너무너무 너어어어무!!!!!! LTE로 해도 안되고 와이파이는 된다고 해서 와이파이로 했더니 여전히 안되고 이건 뭐 앱을 사용 하라는 건지 말라는 건지 모르겠네요;;;ㅜㅜㅜ 부산사람들이 쓰는 앱일텐데 사용자가 많다고 하면 대체 전국민이 쓰는 앱들은 어떻게 켜지는 건가요ㅠㅠㅠ 다른 분들도 계속 안 켜진다고 건의 하시는 거 같은데 이 부분은 빠른시일내에 조치를 취해주셨으면 합니다.
2020년 5월 8일,별표 5개 만점에 1개를 받았습니다.,25,네트워크 연결이 원활하지 않습니다. 접속오류 다른 어플과 인터넷은 잘 사용되는 중인데 동백전 어플만 사용하면 이 문구가 나오네요. 접속이 되어도 예기치 못한 경우......문구가 나오며 무한 로딩만 반복되고 동백전 충전을 하려고 몇번이나 어플을 접속해야하는지 모르겠네요. 고객센터로 전화를 걸어도 모든 상담원이 통화중입니다 무한 반복 cs부서가 있는건 맞죠?? 좋은 취지에서 만든 지역화페인데 사용도 제대로 못하고 참 좋네요^^ 별점 0점이 있다면 0점 주고싶습니다ㅎㅎ
2020년 3월 4일,별표 5개 만점에 1개를 받았습니다.,28,치명적인 단점 지적합니다. 환불정책 정말 불편하네요. 전체 적립금에 60%이상 써야 나머지 금액 환불이 가능하게 해놓는 것은 너무 불편합니다. 또 부분환불도 안되고 전체 환불만 된다니요... 미리 현금을 충전을 했다가 현금이 필요해 일부 환불 받으려하면 환불이 안됩니다. 환불제도 다시 검토하셔야 할 것 같아요. 100만원 넣고 60만원 이상 쓸 때까지 환불이 안된다면 급 현금 필요한 사람들 어쩌란말인가요? 이거 쓰시는 분들은 미리 돈 충전하면 환불받기 어려우니 쓸만큼만 조금씩 충전하셔야 할 것 같네요.
2020년 3월 19일,별표 5개 만점에 1개를 받았습니다.,5,충전을 충분히 해뒀는데...은행에서 그냥 출금 처리됨..ㅡㅡ 처음에 충전된 잔액에서 결재되었다가 잠시후 잔액부족이라고 뜨면서 취소 시키고 다시 연결된 은행에서 돈빼가고...ㅡㅡ 이게 무슨 충전식 카드인지... 고객사 통화하니 사용자 많을경우 그럴수도 있다고.. 결재한곳 다시 방문해서 취소하고 재결재하라고함... 다시 차타고 가서 취소하고 재결재하라고? 시간이 남아도나? ㅡㅡ
2020년 5월 8일,별표 5개 만점에 3개를 받았습니다.,77,안드로이드 5.0 사용자 입니다 얼마전까지 앱으로 충전 사용등모든 기능이 이루어졌었는데 갑자기 주말에 앱사용이 불가능해졌네요 안드로이드6.0 이상버전만 사용가능한건가요? 하위버전 (구형단말기)에는 사용이 불가능한가요? 하위버전에서는 전혀 사용할수없는건가요?
2020년 5월 8일,별표 5개 만점에 3개를 받았습니다.,1,"-네트워크 상태 원할하지 않습니다- 계속 뜨네요. 해결 하셔야 할듯합니다. 속도 제한 데이터 1Mbps , 3G 일떄는 실행도 안되네요. 빨리 개선해야 하실듯요.. 데이터 속도가 느린 폰들은 아예 이용도 못하겠네요.."
2020년 2월 11일,별표 5개 만점에 3개를 받았습니다.,6,"취지도좋고 캐시백도 큰점 좋습니다 아쉬운점이 있네요 1. 충전된 금액이 아닌 계좌연동으로 결제가되면 캐시백이 안되는 내용을 사전에 고지하지않은점 2. 앱접속이 원활하지 않아 충전, 잔액조회 등의 문제가 생기는점 안되는건 어쩔수없지만 안내는 똑바로 해주면 좋겠습니다 앱구동이나 시스템에 있어서도 여러 사정이 있겠지만 제일 중요한 결제 및 캐시백과 직결되는 부분들인데 이런 부분들이 원활하게 될 수 있도록 빠르게 신경써주시면 좋겠습니다 문제발생시 알림메세지나 공지등을 보내주면 조금 더 낫지않을까 하는 아쉬움이 있네요"
2020년 2월 13일,별표 5개 만점에 1개를 받았습니다.,1,한 번씩 앱이 먹통입니다.. 쓰고 싶어도 못쓰게 하는 앱이네요.. 충전금액 확인하고 쓰려는데 앱은 아무리 기다려도 안되네요.. 서버가 너무 불안정한거아닌가요? 한 두번도 아니고..해결이 안되나보네요 네 알겠습니다..
2020년 2월 29일,별표 5개 만점에 4개를 받았습니다.,3,기능도 만족스럽고 검색해서 가맹점 찾을 수 있는거 너무 좋은거 같아요!! 그런데 카드발급신청했을때 진행도를 알 수가 없어서 불편하네요 동백전 어플에서 확인 할 수 있으면 좋겠어요. 그리고 디이터로 접속하면 접속이 안되던데 왜그런가요?
2020년 3월 4일,별표 5개 만점에 1개를 받았습니다.,1,사용처 제한으로 불편함이 많음. 특히 재래시장에는 카드계산기 없는 상점이 많아 더 불편함~ 그리고 업데이트 하라면서 며칠째 업데이트 했는데도 아직도 설치 중....와 이런다요? 아예 업데이트가 안되네요~
2020년 4월 12일,별표 5개 만점에 2개를 받았습니다.,2,어플이 연결이되야지 충전을할껀데 어제도오후내내 안되서 결국딴카드사용햇네요 네트워크오류로인하여 실행안된다고떠서 내폰이이상한가하고 다른폰으로연결해도 똑같던데 어플연결좀 잘되게해주세요! 가게에서 동백전카드만결재안될때도잇던데요 네트워크오류나서 ! 기능은좋은데 사용이잘안되면 무용지물아입니까 부탁드립니다
2020년 4월 10일,별표 5개 만점에 3개를 받았습니다.,13,"몇일전부터 동백전앱이 실행이 안됩니다. 오류메세지 '네트워크 상태가 원활하지 않습니다. 연결상태 확인후 다시 시도해주세요' 폰의 다른 앱은 모두 정상작동되며 인터넷도 잘되고 이상이 없는데요. 뭐가 문제인가요? 갤럭시 노트3, 안드로이드 5.0"
2020년 3월 30일,별표 5개 만점에 3개를 받았습니다.,1,"잘쓰고 있는데, 오늘 앱이 안열리네요~ 네트워크 상태가 원활하지 않습니다. 로 계속 뜹니다. 친구꺼도 그렇게 뜨네요. 앱이 이모양이면 부산 이미지가 어떻게 되겠습니까? 빨리 고쳐주세요!!"
2020년 2월 14일,별표 5개 만점에 1개를 받았습니다.,,엉망진창입니다. 사용하려고 만든어플이 어떻게 결제하려할때마다 앱이 오류가 빈번하게 나네요. 번거로워서라도 이용이 꺼려집니다. 오류가 한두번도아니고 앱실행자체가 안되네오 ㅎㅎ 거르세요
2020년 2월 21일,별표 5개 만점에 1개를 받았습니다.,8,몇일 전까지 잘 쓰다가 갑자기 네트워크 원활하지않다고 몇일째 접속안되네요!!;; 고객센터 전화했더니 답변준다고 번호남겨놔라해놓고 연락도 없고.. 옆에 다른사람은 접속되던데.. 폰 버전차이인지..? 원활하게 잘 쓸때처럼 빨리 바꿔주세요!!!
2020년 1월 17일,별표 5개 만점에 2개를 받았습니다.,6,네트워크가 원활하지 않아 안된다고 뜨네요. 그런데 옆에 남편은 확인이 잘되는데 뭐가 문제인가요? 통신세기의 문제도 아닌거 같은데..핸드폰 버전에 따라 차이가 나는건가요ㅡㅡ 확인이 안되니 답답하네요.
2020년 1월 21일,별표 5개 만점에 3개를 받았습니다.,23,"며칠전부터 계속 네트워크상태가 불량하다고 계속 들어가지지 않습니다. 접속량이 많아서 그렇다고하는데 다른지인들은 다 잘만 들어가진다고 하네요. 앱을 다시 깔아도 마찬가지고 와이파이를 켜도 데이터를 켜도 10번 100번 시도해도 안들어가지는데 참 답답하네요... 카드결제를 해도 이용내역을 앱을 들어가야 확인을 할 수 있는데 확인도 못하고, 잔액도 모르고 정말.. 어떻게 해야하나요"
2020년 4월 13일,별표 5개 만점에 1개를 받았습니다.,7,마이너스 없어서 별 1개만 줌 카드신청하고 일주일 만에 받았는데 어플에서 충전이 안된다. 올바르지 않은 계좌라네 .. 하아.... 오프라인 충전은 또 부산은행이나 하나은행가서 하라네 허!! 이걸 쓰라고 만든건지 플라스틱 쓰레기를 받은건지 가입만 시켜놓고 대책이 없니? @@@@@@@@@@@@@@@@@@@@@ 모두 내 명의 맞고요 신한/ 국민 계좌로 등록 시도 했었지만 올바르지 않은 계좌라고 해서 앱평가에 글 적은거임 이런거면 어플 문제 아님?
2020년 4월 13일,별표 5개 만점에 2개를 받았습니다.,3,"설치 후 켤때마다 초기화,재인증하라고 하죠? 등록된 정보와 핸드폰 번호가 다르다는 안내가 나오네요.. 동일한 번호로 인증받고 설치했습니다. 재설치해도 동일한 현상이 반복됩니다. 어떻게 하면 되나요?"
2020년 2월 2일,별표 5개 만점에 1개를 받았습니다.,1,충전 환불 제도도 불편하고 상담원 연결 너무 안됩니다. 그리고 쓸 금액만 충전해서 그거 전부 사용했는데 캐시백이 안됬더라구요. 보니까 금액이 모자라서 연결된 카드로 빠져나갔다던데 왜 그렇게 되는건가요? 쓸 금액만 충전해서 충전한 그대로 다 썼는데 왜 카드 전환이 된거죠.. 제대로된 설명도 없고 하나부터 열까지 마음에 안듭니다..
2020년 2월 7일,별표 5개 만점에 1개를 받았습니다.,12,업데이트 이후에 뭘사러 갔더니 분명 해당점포가 캐쉬백대상점포인걸로 아는데 캐쉬백이 바로 안들어와서 다른카드로 결제했습니다. 그런데 바로 취소내역도 안뜨고 이거 어플 뭐하는 겁니까? 돈과 연관된 어플이면 좀 제대로 돌아가야하는거 아닙니까? 정말 업데이트 이후로 실망입니다.
2020년 4월 10일,별표 5개 만점에 4개를 받았습니다.,285,"잘쓰고있는데 잔액 확인하고 싶을 때마다 일일이 들어가서 확인하는게 너무 불편해요. 혹시 위젯 만들어 주실 수 있나요? 간단하게 앱안들어가고 새로고침으로 현재잔액,마일리지,마일리지사용 ON/OFF 버튼 딱 3개만 있어도 엄청 편할 것 같아요"
2020년 4월 10일,별표 5개 만점에 2개를 받았습니다.,15,어플화면에서는 결제완료창이랑 캐쉬백 내역이 뜨는데 가맹점에서 실결제가 되지는 않는 상황이 발생해 카드를 세 번이나 긁었으나 실패했어요. 간헐적으로 이러면 어떤 사람들이 쓰겠습니까?? 고객센터에서도 같은답변이고 해결되는건 없고 정말 불편해서 못쓰겠네요.
2020년 1월 23일,별표 5개 만점에 1개를 받았습니다.,1,"앱 오류가 너무 잦습니다. 충전식인데 충전도 불가능하고, 카드 이용도 불가하고 다른 지역 페이에 비해 오류가 너무 많습니다. 대한민국 제 2의 도시라는 부산에 어울리지 않는 수준입니다."
2020년 1월 29일,별표 5개 만점에 1개를 받았습니다.,1,"와이파이 연결시에는 어플 접속이 잘됩니다. 하지만 데이터 사용시 접속이 잘 안됩니다. (데이터 잔여량도 많이 있고, 통신상태도 양호한 지역에서도 마찬가지입니다.) 기기는 skt 갤럭시s8 ,안드로이드 파이버전입니다."
2020년 2월 5일,별표 5개 만점에 1개를 받았습니다.,3,"네트워크 개선좀 빨리해주세요, 일주일째 데이터로도 접속이안되고 와이파이 연결된상태에서도 접속이안되고 어플 들어가는게 하늘의 별 따기수준입니다;;; 불필요한것을 개선할게아니라 접속부터 원활하게되는게 최우선인것같습니다"
2020년 2월 7일,별표 5개 만점에 5개를 받았습니다.,2,"동백전 앱을 다운받아 회원가입 2단계까진 잘되나 다음단계에서 처음단계로 되돌아가버려 회원가입이 되질 않아요 은행에 가봐도 별다른 방법이 없고 답답한 마음에 문의드립니다 동백전..꼭 사용하고 싶어요 휴대폰은 lg v-30, 안드로이드버전 9, 커널버전 4.4.153"
2020년 3월 17일,별표 5개 만점에 1개를 받았습니다.,,아니 와이파이 네 칸 풀로뜨고 유튜브 등등 빠르게 잘되는데 왜 이 앱만들어거면 네트워크 연결이 안된다고 뜰까요..가입한 이후로 한번도 켜지지않아 카드 신청도 못하고 있습니다. 연결문제 좀 해결해주세요.
2020년 3월 17일,별표 5개 만점에 1개를 받았습니다.,,하... 식당에서 밥 먹고 나가기전에 돈 충전해서 결제하려고 어플을 켰는데 접속이 계속 안되서.. 환급도 못받고 다른 카드로 결제했습니다 .... 이거 진짜 뭔가요 열받습니다 ... 7천원 돈 ... 손해봣네요...
2020년 4월 14일,별표 5개 만점에 1개를 받았습니다.,,오늘 하루종일 로그인이 안되네요 오류도 자주나고 등록된 가맹점에서도 사용 안되는곳이 많이 있습니다 좀 개선해주세요 지금 3일째 네트워크가 원활하지 않다는 메세지가 뜹니다 와이파이 LTE 다안되고 너무 불편하네요!!!
2020년 4월 10일,별표 5개 만점에 1개를 받았습니다.,1,업데이트후 들어갈수가 없음
2020년 4월 10일,별표 5개 만점에 1개를 받았습니다.,,발급 한 달도 지나지 않았는데 1. 시스템 장애로 결제 불가에 2. 앱 오류로 충전 불가에 ㅠㅠ 불편하기 짝이 없군요. 이래서 부산 경제 어떻게 살리죠? 동백전 분발해야겠어요~!
2020년 4월 14일,별표 5개 만점에 4개를 받았습니다.,5,어플에 접속이 안되는데 어떻게 쓰라는거에요?? 아이폰에서 안드로이드로 넘어왓는데 아이폰에선 문제없이 잘썼는데 안드로이드로 넘어오니 왜이래요?? 와이파이읾대도 네트워크접속 안된다그러고 데이터일때도 안된다 그러고 가맹점찾기나 확인하려고 하는데 안들어가지면 어떻게쓰라는거에요??;;; 아 진짜 욕나와요;; 개선좀 해주세요 네트워크 문제 얘기하는 사람이 한둘도 아니구만 도대체 괘 안고쳐지는거에요??
2020년 3월 15일,별표 5개 만점에 1개를 받았습니다.,2,"요 며칠동안 네트워크 상태가 원활하지 않다면서 접속이 안되는 이유를 모르겠네요. 충전을 해야하는데 말이지요. 와이파이, lte 접속에 아무런 문제가 없는데 왜 이런건지 조치 바랍니다."
2020년 3월 18일,별표 5개 만점에 3개를 받았습니다.,1,"동백전 앱 사용시 카드충전금액이 모자라거나 안되어 있으면 연결계좌에서 빠져나가잖아요. 근데, 연결계좌에서 나가니 캐시백이 안되는데 이런 시스템이 맞나요? 어떻게 되는건지 정보가 없어서요."
2020년 4월 14일,별표 5개 만점에 1개를 받았습니다.,115,"갑자기 4월 10일(금) 점심시간때부터 ""네트워크상태가 원활하지 않습니다. 연결상태를 확인 후 다시 시도해주세요""라고 뜹니다. 이 문제로 고객센터측에 문의하니 4월 10일부터 5.0.1안드로이드 버전이 안되고 있다는 보고가 들어와서 해결중이다 라고 하던데요. 도대체 언제 해결되는건가요? 빨리 서버 오류 고쳐서 앱 사용할 수 있도록 해주세요~"
2020년 3월 19일,별표 5개 만점에 1개를 받았습니다.,45,교통카드 없는 카드 개설했다가 있는걸로 바꿀려고 하나카드 통해서 카드해지를 했습니다. 근데 어플상에 정보가 그대로 있어서 재발급을 하지못하고 있습니다. 고객센터 또한 하루 30통 이상씩하는데도 연결불가 영상통화비용으로 11000원이 부과되었네요? 상담조차 못했는데 말이죠? 아주 답답한 경우라 별 1개도 아깝네요 1대1 문의도 답이없고 여기에 달릴 답변은 고객센터에 전화해봐라 이 얘기겠죠?
2020년 3월 4일,별표 5개 만점에 3개를 받았습니다.,1,"왜 두번 터치해야 정상적으로 어플이 실행되는지 모르겠네요. 한번 실행하면 보안프로그램 실행되명서 종료되고, 두번 실행해야 정상적으로 화면이 뜨네요. 이거 해결해 주세요."
